"","P75","Aleph","A","B","C","D","K","L","W","X","Delta","Theta","Xi","Pi","Psi","Byz","Lect","f-1","f-13","28","33","565","700","892","1009","1010","1071","1079","1195","1216","1230","1241","1242","1253","1344","1365","1546","1646","2148","2174","it-a","it-aur","it-b","it-i","it-c","it-d","it-e","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-s","syr-c","syr-p","syr-pal","syr-h","cop","goth","arm","geo","eth","Diatessaron","Marcion","Irenaeus","Ambrose","Tertullian","Augustine","Cyril","Origen","Eusebius","Basil"
"it-a",0.744,0.671,0.57,0.745,0.734,0.483,0.611,0.678,0.671,0.658,0.624,0.577,0.627,0.617,0.584,0.599,0.638,0.611,0.604,0.658,0.658,0.617,0.624,0.631,0.611,0.597,0.644,0.604,0.604,0.617,0.597,0.658,0.611,0.638,0.631,0.631,0.611,0.584,0.631,0.631,0,0.403,0.315,0.521,0.43,0.456,0.415,0.503,0.356,0.295,0.49,0.389,0.49,0.654,0.653,0.638,0.699,0.597,0.645,0.588,0.597,0.664,0.755,0.659,0.676,0.474,0.684,0.692,0.464,0.786,0.615,0.64,0.643
"it-aur",0.624,0.557,0.402,0.649,0.479,0.601,0.402,0.575,0.506,0.453,0.391,0.414,0.559,0.397,0.391,0.374,0.42,0.471,0.431,0.418,0.494,0.408,0.391,0.46,0.402,0.374,0.425,0.391,0.402,0.397,0.397,0.511,0.397,0.437,0.443,0.437,0.397,0.368,0.42,0.437,0.403,0,0.387,0.479,0.317,0.556,0.463,0.231,0.329,0.369,0.258,0.351,0.111,0.618,0.574,0.456,0.506,0.383,0.495,0.431,0.428,0.447,0.643,0.477,0.703,0.474,0.632,0.692,0.429,0.619,0.538,0.48,0.571
"it-b",0.768,0.662,0.575,0.75,0.606,0.506,0.581,0.687,0.625,0.585,0.575,0.594,0.627,0.587,0.581,0.569,0.55,0.594,0.619,0.587,0.635,0.569,0.581,0.631,0.6,0.544,0.594,0.581,0.575,0.587,0.569,0.65,0.556,0.606,0.594,0.606,0.6,0.562,0.581,0.606,0.315,0.387,0,0.315,0.344,0.458,0.388,0.462,0.266,0.212,0.369,0.325,0.5,0.647,0.584,0.587,0.675,0.581,0.636,0.627,0.619,0.612,0.694,0.511,0.649,0.526,0.579,0.692,0.393,0.833,0.564,0.52,0.679
"it-i",0.822,0.63,0.589,0.767,0.822,0.479,0.534,0.726,0.63,0.644,0.589,0.603,0.932,0.548,0.616,0.534,0.63,0.671,0.589,0.658,0.726,0.63,0.616,0.658,0.575,0.521,0.603,0.562,0.603,0.644,0.575,0.658,0.562,0.644,0.644,0.603,0.562,0.562,0.603,0.63,0.521,0.479,0.315,0,0.329,0.466,0.521,0.466,0.219,0.219,0.356,0.342,0.493,0.644,0.644,0.562,0.877,0.562,0.795,0.877,0.575,0.685,0.849,0.74,0.838,0.895,0.632,0.808,0.893,0.929,0.821,0.92,0.821
"it-c",0.728,0.627,0.491,0.696,0.532,0.544,0.497,0.646,0.565,0.535,0.484,0.499,0.644,0.516,0.503,0.46,0.522,0.571,0.534,0.497,0.577,0.497,0.509,0.54,0.497,0.484,0.484,0.497,0.484,0.528,0.46,0.64,0.466,0.509,0.516,0.534,0.499,0.46,0.509,0.528,0.43,0.317,0.344,0.329,0,0.503,0.415,0.335,0.329,0.366,0.323,0.312,0.379,0.691,0.634,0.481,0.614,0.466,0.617,0.529,0.559,0.553,0.612,0.477,0.73,0.579,0.526,0.577,0.5,0.786,0.538,0.56,0.714
"it-d",0.816,0.693,0.595,0.752,0.628,0.094,0.621,0.771,0.614,0.667,0.601,0.654,0.78,0.634,0.614,0.595,0.614,0.68,0.634,0.621,0.699,0.627,0.654,0.68,0.588,0.601,0.66,0.634,0.627,0.614,0.575,0.673,0.595,0.614,0.634,0.641,0.654,0.621,0.621,0.647,0.456,0.556,0.458,0.466,0.503,0,0.469,0.536,0.471,0.451,0.569,0.49,0.582,0.647,0.594,0.673,0.783,0.647,0.757,0.657,0.654,0.645,0.714,0.625,0.622,0.789,0.632,0.615,0.429,0.762,0.59,0.6,0.679
"it-e",0.712,0.605,0.639,0.646,0.691,0.476,0.639,0.646,0.626,0.687,0.633,0.626,0.695,0.626,0.66,0.612,0.605,0.626,0.667,0.646,0.673,0.592,0.619,0.646,0.646,0.599,0.646,0.633,0.633,0.653,0.639,0.653,0.619,0.687,0.639,0.626,0.646,0.639,0.667,0.68,0.415,0.463,0.388,0.521,0.415,0.469,0,0.483,0.408,0.368,0.51,0.463,0.531,0.64,0.574,0.605,0.675,0.633,0.692,0.637,0.612,0.653,0.714,0.636,0.649,0.579,0.684,0.615,0.357,0.81,0.513,0.48,0.679
"it-f",0.672,0.572,0.353,0.653,0.372,0.589,0.347,0.59,0.462,0.421,0.335,0.387,0.542,0.358,0.353,0.306,0.376,0.462,0.382,0.353,0.487,0.353,0.387,0.416,0.341,0.329,0.376,0.358,0.329,0.358,0.358,0.538,0.335,0.416,0.387,0.405,0.353,0.341,0.37,0.376,0.503,0.231,0.462,0.466,0.335,0.536,0.483,0,0.424,0.446,0.264,0.383,0.216,0.662,0.554,0.381,0.494,0.353,0.486,0.324,0.458,0.408,0.551,0.443,0.649,0.526,0.421,0.5,0.536,0.619,0.487,0.44,0.429
"it-ff-2",0.776,0.715,0.589,0.728,0.691,0.494,0.582,0.703,0.62,0.62,0.582,0.576,0.729,0.601,0.601,0.57,0.614,0.639,0.614,0.62,0.699,0.582,0.601,0.658,0.582,0.557,0.589,0.595,0.595,0.627,0.582,0.69,0.563,0.639,0.614,0.614,0.614,0.582,0.601,0.614,0.356,0.329,0.266,0.219,0.329,0.471,0.408,0.424,0,0.184,0.373,0.273,0.456,0.618,0.644,0.551,0.699,0.589,0.682,0.647,0.601,0.618,0.714,0.557,0.811,0.474,0.474,0.769,0.536,0.762,0.538,0.64,0.75
"it-l",0.744,0.679,0.589,0.702,0.649,0.513,0.607,0.685,0.655,0.591,0.607,0.577,0.593,0.625,0.607,0.595,0.631,0.607,0.625,0.619,0.654,0.601,0.619,0.649,0.613,0.577,0.631,0.619,0.601,0.625,0.619,0.643,0.589,0.631,0.625,0.619,0.625,0.607,0.619,0.631,0.295,0.369,0.212,0.219,0.366,0.451,0.368,0.446,0.184,0,0.387,0.273,0.475,0.625,0.634,0.569,0.723,0.593,0.626,0.618,0.602,0.612,0.684,0.5,0.595,0.474,0.579,0.654,0.464,0.762,0.462,0.6,0.714
"it-q",0.744,0.62,0.337,0.718,0.447,0.595,0.374,0.656,0.479,0.447,0.362,0.393,0.695,0.393,0.393,0.337,0.393,0.466,0.417,0.411,0.545,0.387,0.429,0.479,0.374,0.337,0.423,0.393,0.35,0.387,0.393,0.552,0.362,0.436,0.411,0.418,0.405,0.374,0.393,0.436,0.49,0.258,0.369,0.356,0.323,0.569,0.51,0.264,0.373,0.387,0,0.403,0.352,0.691,0.574,0.437,0.542,0.38,0.579,0.451,0.528,0.52,0.602,0.489,0.649,0.526,0.526,0.538,0.607,0.643,0.615,0.48,0.571
"it-r-1",0.792,0.669,0.545,0.74,0.585,0.558,0.552,0.643,0.623,0.597,0.539,0.526,0.661,0.571,0.545,0.532,0.571,0.591,0.558,0.571,0.636,0.571,0.558,0.584,0.552,0.519,0.526,0.584,0.545,0.552,0.539,0.643,0.545,0.571,0.558,0.565,0.571,0.526,0.571,0.545,0.389,0.351,0.325,0.342,0.312,0.49,0.463,0.383,0.273,0.273,0.403,0,0.435,0.669,0.703,0.558,0.639,0.571,0.673,0.627,0.617,0.566,0.704,0.5,0.757,0.579,0.526,0.731,0.571,0.833,0.564,0.68,0.679
"vg",0.648,0.549,0.358,0.63,0.479,0.633,0.37,0.562,0.507,0.472,0.352,0.414,0.61,0.377,0.346,0.327,0.407,0.463,0.402,0.383,0.5,0.383,0.358,0.451,0.364,0.327,0.402,0.383,0.37,0.377,0.346,0.537,0.358,0.383,0.383,0.426,0.352,0.346,0.37,0.401,0.49,0.111,0.5,0.493,0.379,0.582,0.531,0.216,0.456,0.475,0.352,0.435,0,0.647,0.554,0.487,0.554,0.389,0.551,0.451,0.432,0.447,0.684,0.545,0.649,0.737,0.684,0.538,0.393,0.643,0.462,0.52,0.607
"syr-s",0.648,0.603,0.632,0.581,0.84,0.632,0.669,0.669,0.559,0.721,0.662,0.691,0.695,0.633,0.669,0.676,0.632,0.64,0.706,0.691,0.757,0.654,0.581,0.654,0.654,0.647,0.662,0.632,0.662,0.684,0.669,0.64,0.654,0.713,0.676,0.684,0.654,0.669,0.669,0.684,0.654,0.618,0.647,0.644,0.691,0.647,0.64,0.662,0.618,0.625,0.691,0.669,0.647,0,0.238,0.471,0.566,0.618,0.607,0.804,0.596,0.596,0.694,0.727,0.649,0.842,0.737,0.615,0.571,0.619,0.641,0.68,0.679
"syr-c",0.762,0.653,0.525,0.683,0.798,0.574,0.485,0.743,0.515,0.604,0.515,0.624,0.847,0.485,0.554,0.495,0.515,0.584,0.574,0.574,0.673,0.505,0.495,0.584,0.535,0.485,0.564,0.495,0.535,0.535,0.515,0.584,0.515,0.564,0.554,0.584,0.505,0.535,0.545,0.574,0.653,0.574,0.584,0.644,0.634,0.594,0.574,0.554,0.644,0.634,0.574,0.703,0.554,0.238,0,0.327,0.771,0.485,0.723,0.812,0.564,0.574,0.704,0.693,0.703,0.895,0.842,0.654,0.714,0.81,0.769,0.72,0.714
"syr-p",0.72,0.581,0.412,0.662,0.521,0.69,0.375,0.631,0.4,0.503,0.362,0.456,0.61,0.381,0.431,0.344,0.425,0.506,0.45,0.412,0.538,0.387,0.419,0.45,0.412,0.362,0.381,0.375,0.4,0.419,0.4,0.531,0.375,0.45,0.406,0.444,0.387,0.406,0.412,0.425,0.638,0.456,0.587,0.562,0.481,0.673,0.605,0.381,0.551,0.569,0.437,0.558,0.487,0.471,0.327,0,0.494,0.319,0.561,0.451,0.519,0.487,0.531,0.295,0.757,0.526,0.684,0.615,0.5,0.714,0.615,0.48,0.5
"syr-pal",0.675,0.398,0.494,0.518,0.675,0.759,0.458,0.422,0.47,0.47,0.458,0.458,0.695,0.422,0.434,0.47,0.518,0.373,0.458,0.542,0.518,0.482,0.422,0.446,0.494,0.458,0.458,0.458,0.482,0.482,0.506,0.398,0.446,0.542,0.494,0.446,0.434,0.434,0.482,0.446,0.699,0.506,0.675,0.877,0.614,0.783,0.675,0.494,0.699,0.723,0.542,0.639,0.554,0.566,0.771,0.494,0,0.41,0.614,0.759,0.446,0.494,0.627,0.747,0.892,0.632,0.684,0.808,0.679,0.714,0.744,0.56,0.714
"syr-h",0.728,0.599,0.204,0.689,0.372,0.665,0.186,0.623,0.365,0.308,0.192,0.281,0.559,0.21,0.257,0.156,0.24,0.419,0.293,0.281,0.423,0.234,0.293,0.347,0.21,0.204,0.257,0.216,0.138,0.251,0.228,0.467,0.204,0.305,0.24,0.246,0.216,0.204,0.234,0.275,0.597,0.383,0.581,0.562,0.466,0.647,0.633,0.353,0.589,0.593,0.38,0.571,0.389,0.618,0.485,0.319,0.41,0,0.598,0.333,0.452,0.441,0.49,0.455,0.757,0.684,0.684,0.538,0.75,0.619,0.641,0.44,0.321
"cop",0.467,0.224,0.505,0.252,0.723,0.748,0.551,0.196,0.477,0.561,0.542,0.505,0.525,0.523,0.486,0.533,0.514,0.449,0.607,0.579,0.477,0.486,0.523,0.393,0.561,0.533,0.514,0.514,0.551,0.542,0.551,0.318,0.542,0.561,0.598,0.542,0.542,0.57,0.598,0.542,0.645,0.495,0.636,0.795,0.617,0.757,0.692,0.486,0.682,0.626,0.579,0.673,0.551,0.607,0.723,0.561,0.614,0.598,0,0.735,0.551,0.486,0.694,0.784,0.892,0.895,0.842,0.769,0.714,0.643,0.667,0.68,0.857
"goth",0.902,0.559,0.216,0.735,0.596,0.676,0.225,0.618,0.412,0.441,0.225,0.275,0.61,0.265,0.275,0.176,0.304,0.441,0.333,0.225,0.451,0.186,0.353,0.382,0.196,0.196,0.314,0.255,0.216,0.265,0.216,0.52,0.235,0.275,0.225,0.324,0.265,0.235,0.304,0.284,0.588,0.431,0.627,0.877,0.529,0.657,0.637,0.324,0.647,0.618,0.451,0.627,0.451,0.804,0.812,0.451,0.759,0.333,0.735,0,0.549,0.578,0.704,0.75,0.865,0.789,0.737,0.769,0.714,0.738,0.769,0.72,0.536
"arm",0.616,0.512,0.458,0.608,0.553,0.703,0.464,0.518,0.566,0.497,0.482,0.44,0.525,0.452,0.434,0.446,0.5,0.367,0.428,0.512,0.5,0.44,0.41,0.476,0.464,0.476,0.446,0.452,0.446,0.488,0.458,0.494,0.47,0.518,0.518,0.464,0.452,0.44,0.47,0.524,0.597,0.428,0.619,0.575,0.559,0.654,0.612,0.458,0.601,0.602,0.528,0.617,0.432,0.596,0.564,0.519,0.446,0.452,0.551,0.549,0,0.303,0.541,0.511,0.649,0.579,0.632,0.654,0.464,0.619,0.538,0.52,0.571
"geo",0.624,0.52,0.408,0.52,0.543,0.704,0.434,0.5,0.487,0.507,0.395,0.454,0.576,0.421,0.428,0.395,0.441,0.434,0.441,0.447,0.553,0.395,0.316,0.48,0.421,0.395,0.408,0.414,0.408,0.421,0.441,0.487,0.421,0.513,0.454,0.461,0.428,0.434,0.421,0.467,0.664,0.447,0.612,0.685,0.553,0.645,0.653,0.408,0.618,0.612,0.52,0.566,0.447,0.596,0.574,0.487,0.494,0.441,0.486,0.578,0.303,0,0.633,0.58,0.757,0.684,0.632,0.692,0.643,0.595,0.538,0.52,0.571
"eth",0.765,0.52,0.551,0.582,0.734,0.735,0.561,0.52,0.582,0.5,0.531,0.52,0.576,0.541,0.51,0.541,0.582,0.51,0.582,0.592,0.469,0.51,0.541,0.449,0.541,0.531,0.52,0.551,0.5,0.5,0.531,0.52,0.541,0.561,0.561,0.531,0.541,0.531,0.582,0.52,0.755,0.643,0.694,0.849,0.612,0.714,0.714,0.551,0.714,0.684,0.602,0.704,0.684,0.694,0.704,0.531,0.627,0.49,0.694,0.704,0.541,0.633,0,0.614,0.811,0.579,0.789,0.692,0.786,0.738,0.718,0.6,0.607
"Diatessaron",0.818,0.739,0.523,0.716,0.761,0.648,0.443,0.773,0.523,0.534,0.432,0.489,0.864,0.466,0.534,0.432,0.466,0.614,0.534,0.477,0.636,0.443,0.534,0.534,0.489,0.42,0.477,0.466,0.511,0.466,0.443,0.67,0.42,0.5,0.466,0.5,0.489,0.443,0.489,0.443,0.659,0.477,0.511,0.74,0.477,0.625,0.636,0.443,0.557,0.5,0.489,0.5,0.545,0.727,0.693,0.295,0.747,0.455,0.784,0.75,0.511,0.58,0.614,0,0.73,0.737,0.789,0.846,0.571,0.905,0.795,0.8,0.714
"Marcion",0.757,0.676,0.568,0.73,0.838,0.676,0.703,0.811,0.649,0.703,0.649,0.73,0.973,0.649,0.703,0.649,0.676,0.595,0.73,0.622,0.73,0.703,0.649,0.838,0.649,0.676,0.784,0.649,0.73,0.595,0.676,0.757,0.676,0.649,0.676,0.703,0.649,0.649,0.649,0.757,0.676,0.703,0.649,0.838,0.73,0.622,0.649,0.649,0.811,0.595,0.649,0.757,0.649,0.649,0.703,0.757,0.892,0.757,0.892,0.865,0.649,0.757,0.811,0.73,0,0.842,0.789,0.5,0.786,0.865,0.865,0.88,0.821
"Irenaeus",0.947,0.632,0.737,0.737,0.684,0.737,0.737,0.632,0.737,0.737,0.684,0.684,0.789,0.684,0.632,0.684,0.842,0.474,0.737,0.842,0.737,0.579,0.632,0.632,0.737,0.684,0.684,0.737,0.789,0.737,0.684,0.737,0.737,0.737,0.684,0.632,0.684,0.632,0.737,0.684,0.474,0.474,0.526,0.895,0.579,0.789,0.579,0.526,0.474,0.474,0.526,0.579,0.737,0.842,0.895,0.526,0.632,0.684,0.895,0.789,0.579,0.684,0.579,0.737,0.842,0,0.842,0.895,0.789,0.842,0.895,0.684,0.789
"Ambrose",0.895,0.789,0.632,0.842,0.737,0.632,0.737,0.737,0.842,0.789,0.684,0.684,0.895,0.737,0.632,0.632,0.737,0.737,0.789,0.789,0.842,0.737,0.632,0.737,0.737,0.684,0.579,0.737,0.737,0.684,0.632,0.684,0.684,0.737,0.737,0.737,0.737,0.684,0.684,0.684,0.684,0.632,0.579,0.632,0.526,0.632,0.684,0.421,0.474,0.579,0.526,0.526,0.684,0.737,0.842,0.684,0.684,0.684,0.842,0.737,0.632,0.632,0.789,0.789,0.789,0.842,0,0.842,0.842,0.842,0.842,0.842,0.842
"Tertullian",0.692,0.5,0.538,0.615,0.692,0.615,0.615,0.654,0.654,0.577,0.577,0.654,0.885,0.577,0.692,0.615,0.615,0.538,0.615,0.692,0.615,0.692,0.615,0.731,0.615,0.577,0.769,0.577,0.538,0.5,0.654,0.731,0.538,0.615,0.615,0.615,0.577,0.654,0.577,0.577,0.692,0.692,0.692,0.808,0.577,0.615,0.615,0.5,0.769,0.654,0.538,0.731,0.538,0.615,0.654,0.615,0.808,0.538,0.769,0.769,0.654,0.692,0.692,0.846,0.5,0.895,0.842,0,0.885,0.731,0.885,0.8,0.885
"Augustine",0.75,0.531,0.679,0.536,0.75,0.464,0.607,0.536,0.571,0.786,0.607,0.607,0.821,0.571,0.607,0.607,0.679,0.429,0.714,0.571,0.571,0.536,0.5,0.571,0.607,0.607,0.607,0.679,0.714,0.714,0.571,0.607,0.607,0.643,0.607,0.607,0.643,0.571,0.607,0.679,0.464,0.429,0.393,0.893,0.5,0.429,0.357,0.536,0.536,0.464,0.607,0.571,0.393,0.571,0.714,0.5,0.679,0.75,0.714,0.714,0.464,0.643,0.786,0.571,0.786,0.789,0.842,0.885,0,0.821,0.714,0.84,0.857
"Cyril",0.571,0.452,0.548,0.476,0.786,0.762,0.524,0.429,0.524,0.643,0.548,0.595,0.81,0.548,0.595,0.5,0.571,0.405,0.667,0.571,0.69,0.5,0.429,0.476,0.5,0.5,0.5,0.643,0.524,0.5,0.548,0.429,0.524,0.595,0.524,0.5,0.571,0.524,0.524,0.524,0.786,0.619,0.833,0.929,0.786,0.762,0.81,0.619,0.762,0.762,0.643,0.833,0.643,0.619,0.81,0.714,0.714,0.619,0.643,0.738,0.619,0.595,0.738,0.905,0.865,0.842,0.842,0.731,0.821,0,0.847,0.72,0.786
"Origen",0.795,0.513,0.59,0.385,0.846,0.615,0.564,0.462,0.59,0.641,0.538,0.59,0.795,0.513,0.513,0.538,0.564,0.487,0.615,0.59,0.615,0.538,0.513,0.513,0.564,0.538,0.538,0.538,0.59,0.538,0.59,0.641,0.513,0.667,0.615,0.615,0.564,0.615,0.564,0.538,0.615,0.538,0.564,0.821,0.538,0.59,0.513,0.487,0.538,0.462,0.615,0.564,0.462,0.641,0.769,0.615,0.744,0.641,0.667,0.769,0.538,0.538,0.718,0.795,0.865,0.895,0.842,0.885,0.714,0.847,0,0.76,0.857
"Eusebius",0.76,0.24,0.48,0.56,0.68,0.24,0.4,0.32,0.44,0.4,0.28,0.36,0.72,0.32,0.44,0.32,0.4,0.36,0.36,0.48,0.48,0.28,0.24,0.36,0.4,0.36,0.44,0.28,0.48,0.4,0.48,0.48,0.4,0.48,0.36,0.44,0.36,0.4,0.4,0.48,0.64,0.48,0.52,0.92,0.56,0.6,0.48,0.44,0.64,0.6,0.48,0.68,0.52,0.68,0.72,0.48,0.56,0.44,0.68,0.72,0.52,0.52,0.6,0.8,0.88,0.684,0.842,0.8,0.84,0.72,0.76,0,0.76
"Basil",0.75,0.536,0.143,0.679,0.75,0.714,0.143,0.607,0.143,0.286,0.071,0.393,0.821,0.143,0.143,0.107,0.143,0.25,0.393,0.286,0.5,0.036,0.214,0.286,0.071,0.071,0.321,0.107,0.179,0.143,0.214,0.393,0.143,0.357,0.143,0.143,0.107,0.143,0.179,0.25,0.643,0.571,0.679,0.821,0.714,0.679,0.679,0.429,0.75,0.714,0.571,0.679,0.607,0.679,0.714,0.5,0.714,0.321,0.857,0.536,0.571,0.571,0.607,0.714,0.821,0.789,0.842,0.885,0.857,0.786,0.857,0.76,0
