"","P75","Aleph","A","B","C","D","K","L","W","X","Delta","Theta","Xi","Pi","Psi","Byz","Lect","f-1","f-13","28","33","565","700","892","1009","1010","1071","1079","1195","1216","1230","1241","1242","1253","1344","1365","1546","1646","2148","2174","it-a","it-aur","it-b","it-i","it-c","it-d","it-e","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-s","syr-c","syr-p","syr-pal","syr-h","cop","goth","arm","geo","eth","Diatessaron","Marcion","Irenaeus","Ambrose","Tertullian","Augustine","Cyril","Origen","Eusebius","Basil"
"Byz",0.72,0.578,0.137,0.707,0.266,0.633,0.087,0.604,0.294,0.226,0.055,0.235,0.61,0.127,0.18,0,0.109,0.351,0.228,0.082,0.372,0.115,0.148,0.222,0.087,0.049,0.218,0.159,0.115,0.131,0.158,0.431,0.087,0.189,0.091,0.156,0.112,0.099,0.09,0.109,0.599,0.374,0.569,0.534,0.46,0.595,0.612,0.306,0.57,0.595,0.337,0.532,0.327,0.676,0.495,0.344,0.47,0.156,0.533,0.176,0.446,0.395,0.541,0.432,0.649,0.684,0.632,0.615,0.607,0.5,0.538,0.32,0.107
"Lect",0.696,0.589,0.177,0.703,0.298,0.627,0.172,0.611,0.297,0.283,0.137,0.286,0.593,0.194,0.234,0.109,0,0.391,0.246,0.188,0.385,0.177,0.246,0.314,0.171,0.114,0.257,0.211,0.137,0.177,0.217,0.434,0.177,0.274,0.177,0.194,0.2,0.171,0.177,0.19,0.638,0.42,0.55,0.63,0.522,0.614,0.605,0.376,0.614,0.631,0.393,0.571,0.407,0.632,0.515,0.425,0.518,0.24,0.514,0.304,0.5,0.441,0.582,0.466,0.676,0.842,0.737,0.615,0.679,0.571,0.564,0.4,0.143
"f-1",0.632,0.466,0.362,0.598,0.457,0.703,0.362,0.466,0.431,0.428,0.362,0.379,0.492,0.362,0.362,0.351,0.391,0,0.391,0.406,0.41,0.316,0.339,0.414,0.362,0.351,0.437,0.379,0.368,0.408,0.368,0.414,0.362,0.437,0.42,0.282,0.345,0.362,0.385,0.402,0.611,0.471,0.594,0.671,0.571,0.68,0.626,0.462,0.639,0.607,0.466,0.591,0.463,0.64,0.584,0.506,0.373,0.419,0.449,0.441,0.367,0.434,0.51,0.614,0.595,0.474,0.737,0.538,0.429,0.405,0.487,0.36,0.25
"f-13",0.688,0.583,0.283,0.7,0.309,0.665,0.272,0.572,0.4,0.302,0.233,0.3,0.542,0.317,0.3,0.228,0.246,0.391,0,0.265,0.359,0.311,0.333,0.356,0.25,0.233,0.296,0.3,0.228,0.261,0.283,0.472,0.244,0.32,0.267,0.294,0.263,0.239,0.237,0.264,0.604,0.431,0.619,0.589,0.534,0.634,0.667,0.382,0.614,0.625,0.417,0.558,0.402,0.706,0.574,0.45,0.458,0.293,0.607,0.333,0.428,0.441,0.582,0.534,0.73,0.737,0.789,0.615,0.714,0.667,0.615,0.36,0.393
"28",0.744,0.6,0.182,0.7,0.34,0.646,0.159,0.618,0.329,0.308,0.112,0.276,0.627,0.218,0.229,0.082,0.188,0.406,0.265,0,0.397,0.165,0.235,0.288,0.124,0.106,0.259,0.218,0.153,0.176,0.194,0.447,0.129,0.253,0.148,0.224,0.188,0.159,0.153,0.224,0.658,0.418,0.587,0.658,0.497,0.621,0.646,0.353,0.62,0.619,0.411,0.571,0.383,0.691,0.574,0.412,0.542,0.281,0.579,0.225,0.512,0.447,0.592,0.477,0.622,0.842,0.789,0.692,0.571,0.571,0.59,0.48,0.286
"33",0.664,0.462,0.34,0.583,0.394,0.724,0.385,0.385,0.5,0.372,0.372,0.359,0.39,0.385,0.359,0.372,0.385,0.41,0.359,0.397,0,0.404,0.397,0.327,0.365,0.372,0.397,0.385,0.321,0.353,0.346,0.423,0.372,0.397,0.378,0.385,0.365,0.365,0.397,0.391,0.658,0.494,0.635,0.726,0.577,0.699,0.673,0.487,0.699,0.654,0.545,0.636,0.5,0.757,0.673,0.538,0.518,0.423,0.477,0.451,0.5,0.553,0.469,0.636,0.73,0.737,0.842,0.615,0.571,0.69,0.615,0.48,0.5
"565",0.712,0.539,0.203,0.674,0.309,0.658,0.176,0.582,0.294,0.258,0.143,0.28,0.508,0.193,0.22,0.115,0.177,0.316,0.311,0.165,0.404,0,0.236,0.317,0.159,0.143,0.263,0.214,0.181,0.225,0.176,0.453,0.165,0.211,0.182,0.206,0.19,0.17,0.164,0.195,0.617,0.408,0.569,0.63,0.497,0.627,0.592,0.353,0.582,0.601,0.387,0.571,0.383,0.654,0.505,0.387,0.482,0.234,0.486,0.186,0.44,0.395,0.51,0.443,0.703,0.579,0.737,0.692,0.536,0.5,0.538,0.28,0.036
"700",0.64,0.539,0.297,0.619,0.447,0.684,0.253,0.571,0.383,0.333,0.214,0.346,0.542,0.265,0.302,0.148,0.246,0.339,0.333,0.235,0.397,0.236,0,0.344,0.253,0.225,0.341,0.297,0.253,0.275,0.269,0.387,0.253,0.303,0.216,0.3,0.24,0.231,0.237,0.27,0.624,0.391,0.581,0.616,0.509,0.654,0.619,0.387,0.601,0.619,0.429,0.558,0.358,0.581,0.495,0.419,0.422,0.293,0.523,0.353,0.41,0.316,0.541,0.534,0.649,0.632,0.632,0.615,0.5,0.429,0.513,0.24,0.214
"892",0.6,0.478,0.317,0.567,0.372,0.677,0.3,0.4,0.422,0.352,0.278,0.317,0.39,0.344,0.306,0.222,0.314,0.414,0.356,0.288,0.327,0.317,0.344,0,0.278,0.289,0.307,0.333,0.289,0.306,0.306,0.372,0.306,0.349,0.29,0.367,0.302,0.283,0.311,0.299,0.631,0.46,0.631,0.658,0.54,0.68,0.646,0.416,0.658,0.649,0.479,0.584,0.451,0.654,0.584,0.45,0.446,0.347,0.393,0.382,0.476,0.48,0.449,0.534,0.838,0.632,0.737,0.731,0.571,0.476,0.513,0.36,0.286
"1009",0.712,0.589,0.148,0.707,0.287,0.633,0.137,0.604,0.306,0.252,0.115,0.235,0.593,0.188,0.186,0.087,0.171,0.362,0.25,0.124,0.365,0.159,0.253,0.278,0,0.104,0.223,0.192,0.137,0.186,0.169,0.436,0.142,0.2,0.153,0.211,0.151,0.137,0.102,0.184,0.611,0.402,0.6,0.575,0.497,0.588,0.646,0.341,0.582,0.613,0.374,0.552,0.364,0.654,0.535,0.412,0.494,0.21,0.561,0.196,0.464,0.421,0.541,0.489,0.649,0.737,0.737,0.615,0.607,0.5,0.564,0.4,0.071
