"","P45","Aleph","A","B","C","D","K","L","W","X","Delta","Theta","Pi","Psi","Byz","Lect","f-1","f-13","28","33","565","700","892","1009","1010","1071","1079","1195","1216","1230","1241","1242","1253","1344","1365","1546","1646","2148","2174"
"33",0.774,0.519,0.346,0.549,0.538,0.737,0.323,0.436,0.722,0.486,0.391,0.549,0.323,0.737,0.308,0.331,0.414,0.398,0.504,0,0.511,0.414,0.256,0.361,0.331,0.376,0.293,0.293,0.391,0.323,0.271,0.338,0.361,0.316,0.308,0.353,0.316,0.286,0.376
"565",0.581,0.671,0.54,0.655,0.614,0.513,0.529,0.607,0.542,0.523,0.608,0.271,0.529,0.712,0.523,0.518,0.414,0.376,0.36,0.511,0,0.415,0.557,0.512,0.517,0.482,0.534,0.526,0.506,0.517,0.524,0.494,0.514,0.529,0.517,0.56,0.506,0.523,0.494
"700",0.516,0.655,0.363,0.661,0.538,0.572,0.351,0.583,0.562,0.339,0.524,0.434,0.345,0.512,0.327,0.335,0.408,0.363,0.396,0.414,0.415,0,0.497,0.387,0.322,0.357,0.339,0.339,0.386,0.368,0.424,0.322,0.386,0.339,0.363,0.393,0.333,0.333,0.351
"892",0.742,0.393,0.443,0.427,0.386,0.717,0.434,0.239,0.604,0.422,0.361,0.554,0.434,0.325,0.407,0.409,0.473,0.514,0.53,0.256,0.557,0.497,0,0.435,0.429,0.446,0.441,0.376,0.424,0.435,0.365,0.435,0.445,0.448,0.424,0.458,0.407,0.446,0.435
"1009",0.71,0.643,0.238,0.655,0.455,0.684,0.173,0.589,0.542,0.22,0.53,0.542,0.19,0.587,0.173,0.262,0.417,0.375,0.463,0.361,0.512,0.387,0.435,0,0.185,0.268,0.185,0.185,0.214,0.173,0.28,0.19,0.202,0.22,0.226,0.22,0.196,0.19,0.185
"1010",0.71,0.659,0.149,0.649,0.47,0.678,0.103,0.552,0.569,0.11,0.506,0.524,0.091,0.55,0.052,0.152,0.391,0.329,0.384,0.331,0.517,0.322,0.429,0.185,0,0.208,0.113,0.121,0.174,0.135,0.241,0.09,0.179,0.132,0.146,0.173,0.107,0.109,0.14
"1071",0.742,0.601,0.262,0.649,0.47,0.704,0.226,0.571,0.639,0.266,0.542,0.518,0.232,0.612,0.202,0.256,0.399,0.333,0.433,0.376,0.482,0.357,0.446,0.268,0.208,0,0.226,0.238,0.256,0.22,0.262,0.226,0.262,0.256,0.238,0.262,0.214,0.244,0.226
"1079",0.71,0.659,0.126,0.632,0.424,0.684,0.08,0.54,0.569,0.211,0.488,0.548,0.046,0.55,0.11,0.183,0.343,0.335,0.415,0.293,0.534,0.339,0.441,0.185,0.113,0.226,0,0.133,0.243,0.169,0.218,0.181,0.208,0.161,0.192,0.101,0.169,0.154,0.198
"1195",0.677,0.618,0.208,0.643,0.402,0.684,0.15,0.534,0.535,0.138,0.5,0.524,0.133,0.562,0.105,0.177,0.361,0.324,0.402,0.293,0.526,0.339,0.376,0.185,0.121,0.238,0.133,0,0.191,0.139,0.218,0.15,0.197,0.15,0.139,0.185,0.162,0.156,0.168
"1216",0.677,0.647,0.241,0.673,0.462,0.691,0.234,0.558,0.569,0.202,0.518,0.53,0.217,0.575,0.163,0.232,0.402,0.335,0.421,0.391,0.506,0.386,0.424,0.214,0.174,0.256,0.243,0.191,0,0.197,0.282,0.175,0.225,0.224,0.242,0.262,0.192,0.223,0.084
"1230",0.677,0.624,0.19,0.655,0.409,0.684,0.16,0.552,0.59,0.156,0.518,0.554,0.177,0.587,0.099,0.183,0.379,0.353,0.415,0.323,0.517,0.368,0.435,0.173,0.135,0.22,0.169,0.139,0.197,0,0.218,0.175,0.081,0.172,0.197,0.173,0.158,0.16,0.169
"1241",0.677,0.565,0.271,0.6,0.409,0.704,0.241,0.479,0.597,0.211,0.482,0.536,0.235,0.6,0.224,0.238,0.379,0.4,0.451,0.271,0.524,0.424,0.365,0.28,0.241,0.262,0.218,0.218,0.282,0.218,0,0.235,0.265,0.259,0.247,0.25,0.2,0.259,0.265
"1242",0.71,0.642,0.201,0.637,0.455,0.671,0.177,0.552,0.569,0.092,0.506,0.494,0.149,0.562,0.105,0.183,0.373,0.312,0.396,0.338,0.494,0.322,0.435,0.19,0.09,0.226,0.181,0.15,0.175,0.175,0.235,0,0.208,0.149,0.153,0.226,0.107,0.143,0.141
"1253",0.677,0.624,0.243,0.661,0.432,0.697,0.237,0.577,0.597,0.174,0.548,0.53,0.225,0.6,0.174,0.238,0.385,0.364,0.427,0.361,0.514,0.386,0.445,0.202,0.179,0.262,0.208,0.197,0.225,0.081,0.265,0.208,0,0.225,0.243,0.226,0.197,0.208,0.225
"1344",0.71,0.636,0.195,0.655,0.439,0.691,0.149,0.564,0.583,0.156,0.542,0.524,0.161,0.562,0.11,0.165,0.391,0.364,0.427,0.316,0.529,0.339,0.448,0.22,0.132,0.256,0.161,0.15,0.224,0.172,0.259,0.149,0.225,0,0.167,0.214,0.138,0.155,0.184
"1365",0.613,0.624,0.218,0.637,0.409,0.691,0.194,0.54,0.528,0.174,0.506,0.518,0.189,0.537,0.11,0.152,0.343,0.347,0.378,0.308,0.517,0.363,0.424,0.226,0.146,0.238,0.192,0.139,0.242,0.197,0.247,0.153,0.243,0.167,0,0.22,0.158,0.143,0.202
"1546",0.742,0.655,0.19,0.655,0.432,0.711,0.155,0.564,0.611,0.239,0.494,0.584,0.143,0.575,0.179,0.268,0.399,0.357,0.451,0.353,0.56,0.393,0.458,0.22,0.173,0.262,0.101,0.185,0.262,0.173,0.25,0.226,0.226,0.214,0.22,0,0.22,0.202,0.244
"1646",0.71,0.613,0.167,0.632,0.462,0.678,0.16,0.534,0.556,0.128,0.536,0.506,0.16,0.562,0.087,0.152,0.373,0.341,0.378,0.316,0.506,0.333,0.407,0.196,0.107,0.214,0.169,0.162,0.192,0.158,0.2,0.107,0.197,0.138,0.158,0.22,0,0.143,0.164
"2148",0.71,0.659,0.201,0.649,0.447,0.724,0.177,0.571,0.556,0.147,0.53,0.53,0.171,0.55,0.105,0.171,0.402,0.353,0.427,0.286,0.523,0.333,0.446,0.19,0.109,0.244,0.154,0.156,0.223,0.16,0.259,0.143,0.208,0.155,0.143,0.202,0.143,0,0.171
"2174",0.71,0.659,0.23,0.667,0.462,0.664,0.171,0.558,0.583,0.174,0.518,0.5,0.166,0.575,0.122,0.183,0.379,0.329,0.409,0.376,0.494,0.351,0.435,0.185,0.14,0.226,0.198,0.168,0.084,0.169,0.265,0.141,0.225,0.184,0.202,0.244,0.164,0.171,0
