"","P74","A","B","C","D","E","P","Psi","049","056","0142","Byz","Lect","33","81","88","104","181","326","330","436","451","614","629","630","945","1241","1505","1739","1877","2127","2412","2492","2495","it-ar","it-d","it-e","it-gig","it-h","it-l","it-p","it-r","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","geo","Lucifer","Chrysostom","Irenaeus","Origen","Aleph-c"
"it-r",0.591,0.455,0.591,0.636,0.591,0.727,0.727,0.727,0.682,0.727,0.727,0.682,0.682,0.727,0.591,0.727,0.636,0.682,0.727,0.727,0.636,0.727,0.682,0.545,0.682,0.545,0.682,0.682,0.545,0.636,0.727,0.682,0.773,0.682,0.5,0.455,0.773,0.364,0.909,0.909,0.909,0,0.455,0.682,0.636,0.591,0.364,0.455,0.636,0.545,0.875,0.727,0.682,0.857,0.955
"vg",0.409,0.404,0.497,0.442,0.669,0.53,0.624,0.545,0.612,0.59,0.596,0.58,0.63,0.514,0.408,0.559,0.536,0.517,0.6,0.585,0.541,0.579,0.596,0.399,0.539,0.525,0.59,0.557,0.525,0.579,0.617,0.607,0.623,0.601,0.186,0.594,0.434,0.438,0.625,0.389,0.85,0.455,0,0.454,0.508,0.48,0.331,0.5,0.516,0.421,0.437,0.664,0.633,0.571,0.567
"syr-p",0.585,0.511,0.626,0.496,0.62,0.488,0.466,0.443,0.437,0.402,0.425,0.431,0.46,0.534,0.536,0.448,0.437,0.431,0.483,0.42,0.425,0.42,0.454,0.423,0.477,0.471,0.414,0.385,0.466,0.437,0.443,0.454,0.443,0.414,0.443,0.594,0.443,0.529,0.417,0.556,0.75,0.682,0.454,0,0.282,0.437,0.511,0.437,0.44,0.408,0.562,0.52,0.667,0.524,0.5
"syr-h",0.591,0.559,0.634,0.478,0.595,0.366,0.343,0.307,0.351,0.326,0.324,0.295,0.38,0.48,0.496,0.436,0.358,0.33,0.356,0.344,0.323,0.347,0.266,0.363,0.36,0.421,0.317,0.293,0.411,0.359,0.337,0.262,0.321,0.306,0.467,0.586,0.377,0.506,0.417,0.5,0.75,0.636,0.508,0.282,0,0.514,0.509,0.371,0.484,0.426,0.562,0.352,0.667,0.381,0.5
"cop-sa",0.497,0.447,0.492,0.504,0.653,0.622,0.615,0.545,0.609,0.592,0.609,0.597,0.64,0.5,0.464,0.581,0.559,0.506,0.587,0.609,0.581,0.598,0.547,0.536,0.573,0.531,0.581,0.575,0.525,0.581,0.609,0.553,0.575,0.598,0.497,0.617,0.571,0.539,0.708,0.528,0.625,0.591,0.48,0.437,0.514,0,0.389,0.483,0.44,0.508,0.5,0.632,0.667,0.524,0.533
"cop-bo",0.404,0.349,0.36,0.381,0.769,0.506,0.617,0.514,0.56,0.589,0.606,0.606,0.63,0.466,0.384,0.571,0.56,0.486,0.566,0.589,0.554,0.577,0.577,0.458,0.531,0.509,0.583,0.554,0.474,0.583,0.571,0.583,0.566,0.543,0.411,0.719,0.497,0.543,0.708,0.583,0.8,0.364,0.331,0.511,0.509,0.389,0,0.463,0.473,0.417,0.562,0.632,0.6,0.429,0.633
"arm",0.544,0.461,0.551,0.327,0.653,0.488,0.539,0.46,0.528,0.506,0.517,0.5,0.55,0.453,0.48,0.455,0.455,0.386,0.483,0.511,0.416,0.506,0.489,0.482,0.416,0.41,0.478,0.478,0.354,0.483,0.5,0.489,0.534,0.472,0.494,0.641,0.486,0.579,0.5,0.583,0.775,0.455,0.5,0.437,0.371,0.483,0.463,0,0.527,0.326,0.625,0.504,0.567,0.524,0.467
"eth",0.604,0.549,0.637,0.659,0.78,0.637,0.604,0.56,0.582,0.604,0.615,0.626,0.824,0.681,0.714,0.615,0.593,0.637,0.626,0.582,0.626,0.582,0.549,0.582,0.615,0.659,0.615,0.582,0.593,0.659,0.582,0.549,0.56,0.582,0.516,0.725,0.571,0.593,0.75,0.806,0.825,0.636,0.516,0.44,0.484,0.44,0.473,0.527,0,0.505,0.875,0.659,0.7,0.81,0.767
"geo",0.474,0.473,0.552,0.372,0.628,0.47,0.569,0.483,0.543,0.526,0.551,0.523,0.5,0.439,0.408,0.486,0.441,0.42,0.506,0.54,0.462,0.547,0.521,0.494,0.427,0.399,0.513,0.484,0.368,0.565,0.516,0.513,0.516,0.505,0.462,0.578,0.411,0.522,0.542,0.472,0.7,0.545,0.421,0.408,0.426,0.508,0.417,0.326,0.505,0,0.625,0.552,0.5,0.476,0.4
"Lucifer",0.687,0.437,0.687,0.687,0.625,0.625,0.5,0.5,0.625,0.5,0.437,0.562,0.625,0.687,0.687,0.625,0.687,0.562,0.562,0.687,0.5,0.625,0.562,0.625,0.562,0.5,0.625,0.562,0.562,0.5,0.625,0.562,0.562,0.625,0.5,0.562,0.5,0.187,0.687,0.875,0.812,0.875,0.437,0.562,0.562,0.5,0.562,0.625,0.875,0.625,0,0.687,0.875,0.875,0.875
"Chrysostom",0.712,0.688,0.8,0.699,0.76,0.512,0.24,0.416,0.216,0.224,0.24,0.208,0.51,0.672,0.712,0.352,0.272,0.52,0.336,0.208,0.264,0.208,0.336,0.392,0.432,0.448,0.232,0.296,0.48,0.304,0.256,0.336,0.24,0.296,0.616,0.736,0.48,0.608,0.708,0.833,0.8,0.727,0.664,0.52,0.352,0.632,0.632,0.504,0.659,0.552,0.687,0,0.767,0.667,0.6
"Irenaeus",0.733,0.7,0.833,0.7,0.367,0.733,0.667,0.7,0.633,0.633,0.667,0.667,0.767,0.667,0.8,0.667,0.633,0.633,0.7,0.633,0.7,0.6,0.7,0.7,0.8,0.7,0.667,0.7,0.733,0.7,0.633,0.7,0.667,0.667,0.567,0.267,0.733,0.4,0.792,0.867,0.867,0.682,0.633,0.667,0.667,0.667,0.6,0.567,0.7,0.5,0.875,0.767,0,0.81,0.933
"Origen",0.81,0.429,0.524,0.619,0.667,0.429,0.619,0.476,0.571,0.524,0.619,0.524,0.571,0.524,0.667,0.667,0.571,0.476,0.571,0.571,0.429,0.571,0.381,0.524,0.476,0.429,0.524,0.476,0.476,0.619,0.476,0.429,0.571,0.524,0.619,0.571,0.429,0.571,0.857,0.857,0.81,0.857,0.571,0.524,0.381,0.524,0.429,0.524,0.81,0.476,0.875,0.667,0.81,0,0.905
"Aleph-c",0.467,0.367,0.7,0.833,0.973,0.433,0.5,0.567,0.5,0.433,0.433,0.467,0.667,0.567,0.6,0.467,0.4,0.433,0.433,0.467,0.4,0.467,0.5,0.533,0.433,0.267,0.433,0.467,0.333,0.467,0.467,0.5,0.467,0.533,0.633,0.733,0.467,0.6,0.917,0.933,0.967,0.955,0.567,0.5,0.5,0.533,0.633,0.467,0.767,0.4,0.875,0.6,0.933,0.905,0
